id,name,voteSum,status,HarrisSum,trumpSum,otherSum,HarrisRate,trumpRate,otherRate,HarrisNum,trumpNum,otherNum
,全美,538,已结束,70910573,74644300,0,48,51,0,226,312,0
IN,印第安纳,11,已结束,1158650,1711713,49551,40,59,2,0,11,0
FL,佛罗里达,30,已结束,4680748,6109443,100304,43,56,1,0,30,0
NC,北卡罗来纳,16,已结束,2688797,2878108,64864,48,51,1,0,16,0
AL,亚拉巴马,9,已结束,769391,1457704,21242,34,65,1,0,9,0
MA,马萨诸塞,11,已结束,2072304,1234783,74023,61,37,2,11,0,0
RI,罗得岛,4,已结束,282110,213021,10959,56,42,2,4,0,0
AZ,亚利桑那,11,已结束,1389309,1574244,29562,46,53,1,0,11,0
NY,纽约,28,已结束,4353005,3443683,0,56,44,0,28,0,0
ID,爱达荷,4,已结束,274838,605041,24586,30,67,3,0,4,0
UT,犹他,6,已结束,487924,757608,33506,38,59,3,0,6,0
KY,肯塔基,8,已结束,700920,1336227,31714,34,65,2,0,8,0
GA,佐治亚,16,已结束,2544281,2661056,38865,49,51,1,0,16,0
CT,康涅狄格,7,已结束,986573,731164,29275,56,42,2,7,0,0
MI,密歇根,15,已结束,2724029,2804647,110025,48,50,2,0,15,0
SD,南达科他,3,已结束,146859,272081,9982,34,63,2,0,3,0
KS,堪萨斯,6,已结束,532475,741949,23243,41,57,2,0,6,0
CO,科罗拉多,10,已结束,1682347,1336921,81936,54,43,3,10,0,0
ND,北达科他,3,已结束,111966,245943,6206,31,68,2,0,3,0
IA,艾奥瓦,6,已结束,706556,926653,22606,43,56,1,0,6,0
HI,夏威夷,4,已结束,312384,193169,9955,61,37,2,4,0,0
NH,新罕布什尔,4,已结束,383369,360031,7248,51,48,1,4,0,0
WV,西弗吉尼亚,4,已结束,208517,524191,14224,28,70,2,0,4,0
DE,特拉华,3,已结束,285368,212546,7506,56,42,1,3,0,0
MS,密西西比,6,已结束,404063,655094,12627,38,61,1,0,6,0
TN,田纳西,11,已结束,1048303,1961784,37769,34,64,1,0,11,0
OK,俄克拉何马,7,已结束,499043,1035219,30313,32,66,2,0,7,0
LA,路易斯安那,8,已结束,766405,1208233,31586,38,60,2,0,8,0
WI,威斯康星,10,已结束,1657714,1689033,49011,49,50,NaN,0,10,0
MT,蒙大拿,4,已结束,145534,220356,8641,39,59,2,0,4,0
AK,阿拉斯加,3,已结束,102969,141470,10232,40,56,4,0,3,0
SC,南卡罗来纳,9,已结束,1014531,1453690,35528,41,58,1,0,9,0
OH,俄亥俄,17,已结束,2479475,3116406,36981,44,55,1,0,17,0
DC,华盛顿哥伦比亚特区,3,已结束,255899,18669,2349,92,7,1,3,0,0
MO,密苏里,10,已结束,1214456,1675165,39511,41,57,1,0,10,0
TX,得克萨斯,40,已结束,4734933,6325710,146393,42,56,1,0,40,0
ME,缅因,4,已结束,322848,269391,15981,53,44,3,3,1,0
MN,明尼苏达,10,已结束,1651013,1509590,60641,51,46,2,10,0,0
WY,怀俄明,3,已结束,72199,189885,4191,27,71,2,0,3,0
NV,内华达,6,已结束,668793,716986,18303,48,51,1,0,6,0
CA,加利福尼亚,54,已结束,5390140,3652701,206791,58,39,2,54,0,0
VT,佛蒙特,3,已结束,235371,119013,0,64,33,0,3,0,0
VA,弗吉尼亚,13,已结束,2143998,1932008,0,52,47,0,13,0,0
IL,伊利诺伊,19,已结束,2741392,2328956,0,53,45,0,19,0,0
NJ,新泽西,14,已结束,2030554,1841876,0,51,47,0,14,0,0
MD,马里兰,10,已结束,1465766,917443,0,60,38,0,10,0,0
PA,宾夕法尼亚,19,已结束,3112383,3336263,0,48,51,0,0,19,0
AR,阿肯色,6,已结束,391610,750035,0,34,64,0,0,6,0
NE,内布拉斯加,5,已结束,265780,358391,0,42,57,0,1,4,0
NM,新墨西哥,5,已结束,453706,409295,0,51,46,0,5,0,0
OR,俄勒冈,8,已结束,863315,659963,0,55,42,0,8,0,0
WA,华盛顿,12,已结束,1527827,1019146,0,59,39,0,12,0,0
